id,id_ex,siret,gestion,date_creat,date_publi,nature,groupement,titre,objet,objet_social1,objet_social2,adr1,adr2,adr3,adrs_codepostal,libcom,dir_civilite,siteweb,observation,position,rup_mi,maj_time
652S0652002193,0652002193,,652S,1999-07-16,0001-01-01,D,S,CENTRE ECOLE DE TRAINEAU A CHIENS - NUNAVUK - BASE AVENTURE,PROMOUVOIR ET FAVORISER LENSEIGNEMENT DES SPORTS DE TRAINEAU A CHIENS DES TECHNIQUES DATTELAGE ET PROMOUVOIR LA PROFESSION DE CONDUCTEUR DE CHIENS ET LES ACTIVITES QUI Y SONT ASSOCIES,007045,007000,,,,33210,LANGON,PM,,,A,,2007-12-05 08:15:45
241S1072,1072,,241S,1963-01-30,0001-01-01,D,S,SOCIETE POUR LA FETE DU PRINTEMPS,O,000000,000000,Mairie,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S114,114,,241S,1921-08-03,0001-01-01,D,S,ASSOCIATION JEANNE DARC,O,000000,000000,Salle Jeanne dArc,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S1781,1781,,241S,1978-05-12,1978-05-23,D,S,ASSOCIATION DE DEFENSE CONTRE LES NUISANCES DE LAERODROME,O,000000,000000,Mairie,,,33220,FOUGUEYROLLES,PF,,,A,,2001-09-14 00:00:00
241S1857,1857,,241S,1979-08-07,1979-08-15,D,S,COMITE DES FETES DE PONCHAPT,O,000000,000000,Salle des Fetes,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S2263,2263,,241S,1984-03-15,1984-04-03,D,S,MOTO CLUB DE FOUGUEYROLLES,O,000000,000000,Mairie,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S2276,2276,,241S,1984-04-17,1984-05-03,D,S,COMITE DANIMATIONS DE PORT SAINTE FOY,O,000000,000000,Mairie Rue Eugene Tricoche,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S2642,2642,,241S,1987-12-24,1988-01-20,D,S,LES JARDINS DE DEMAIN,O,000000,000000,Mairie,,,33220,PORT STE FOY ET PONCHAPT,PF,,,A,,2001-09-14 00:00:00
241S2903,2903,,241S,1990-01-23,1990-02-21,D,S,ASSOCIATION POUR LES FESTIVITES FOUGUEYROLLAISES,O,000000,000000,Mairie,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S3305,3305,,241S,1993-05-24,1993-06-16,D,S,CLUBINVEST,O,000000,000000,19 rue des Fontaines,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S3393,3393,,241S,1994-02-21,1994-03-16,D,S,AIR BASTIDE-CLUB,O,000000,000000,Aerodrome,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S3480,3480,,241S,1994-09-27,1994-10-12,D,S,ALEA JACTA EST,O,000000,000000,Le Sablat,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S3574,3574,,241S,1985-08-20,1998-08-01,D,S,DROITS - DEVOIRS - DEFENSE D.D.D.,O,000000,000000,Bourg de Ponchapt,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S3790,3790,,241S,1996-09-25,1996-10-09,D,S,STUDIO 7,O,000000,000000,6 Chemin du Luc,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S3818,3818,,241S,1996-11-25,1966-12-18,D,S,DA CAPO 24,O,000000,000000,Mairie de Fougueyrolles,,,33220,FOUGUEYROLLES,PF,,,A,,2001-09-14 00:00:00
241S3988,3988,,241S,1997-12-19,1998-01-17,D,S,COMITE DEFENSE SECURITE RIVERAINS 936 PORT STE FOY,O,000000,000000,17BIS AVENUE DE BORDEAUX,,,33220,PORT STE FOY ET PONCHAPT,PM,,W241002673,R,,2015-10-23 10:42:26
241S4070,4070,,241S,1998-07-06,1998-08-01,D,S,CERCLE HENRY EMMER,O,000000,000000,Chez M. RICHEBOURG Le Bourg de Ponchapt,,,33220,PORT STE FOY ET PONCHAPT,PF,,,A,,2001-09-14 00:00:00
241S4078,4078,,241S,1998-07-09,1998-08-08,D,S,LES REVEURS MORALEMENT INVENTIFS,O,000000,000000,Chez M. Grangier lIlot,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4166,4166,,241S,1985-10-28,1985-11-27,D,S,ASSOCIATION SPORTIVE FORMULE 3 F.C.M.S. LEMEILLEUR,O,000000,000000,8 rue du Canet,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4172,4172,,241S,1999-03-08,1999-03-27,D,S,PARLONS EN,O,000000,000000,Mairie,,,33220,PORT STE FOY ET PONCHAPT,PF,,,A,,2001-09-14 00:00:00
241S4294,4294,,241S,2000-03-09,2000-04-08,D,S,POLLEN BERGERACOIS,O,000000,000000,Mairie,,,33220,PORT STE FOY ET PONCHAPT,PM,,W241002344,R,,2014-01-24 13:56:46
241S4302,4302,,241S,2000-03-29,2000-04-29,D,S,LES ROYAUMES UNIS TRAVELLERS,O,000000,000000,Chez M. ZIEBA Jean Remy 12 Residence du Moulin,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4303,4303,,241S,2000-03-29,2000-04-29,D,S,COMITE DACTION TOURISTIQUE DE PORT SAINTE FOY ET PONCHAPT,O,000000,000000,Mairie de Ponchapt,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4404,4404,,241S,2001-02-22,2001-03-24,D,S,LES AMIS DANTHONY HOSPITAL,O,000000,000000,chez M. HOSPITAL Les Grands Champs,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4407,4407,,241S,2001-02-27,2001-03-24,D,S,COMITE DE DEFENSE DES RIVERAINS CONTRIBUABLES DE LA VALLEE DU MEYNOT ET DE LA ROUTE DE LAERODROME,O,000000,000000,chez M. LABOYE route de lAerodrome,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S442,442,,241S,1939-06-02,1993-06-16,D,S,SOCIETE DE CHASSE DE PORT STE FOY,O,000000,000000,Chez M. NOLOT 13 residence des Tabacs,,,33220,PORT STE FOY ET PONCHAPT,PM,,W241003162,R,,2018-07-19 11:14:53
241S4436,4436,,241S,2001-05-29,2002-09-21,D,S,A BON PORT ET PONCHAPT,O,000000,000000,Chez LOUIS Pierre Garrigue,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4450,4450,,241S,2001-06-27,2001-07-21,D,S,ASSOCIATION DES CONTRIBUABLES DE PORT STE FOY ET PONCHAPT,O,000000,000000,Chez M. BOUCART Le Sablat,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4533,4533,,241S,2002-01-28,2002-02-16,D,S,RESEAU DES ANCIENS ET AMIS DE PONCHAPT,O,000000,000000,Ponchapt,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4535,4535,,241S,2002-02-05,2002-02-23,D,S,GROUPEMENT DEMPLOYEURS AGRICOLES DE LA RESSAUDIE,O,000000,000000,Chez M. REBEYROLLE La Ressaudie,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4712,4712,,241S,2003-06-25,2003-09-06,D,S,AERO DORDOGNE LOISIRS,O,000000,000000,Aerodrome municipal,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S4716,4716,,241S,2003-07-03,2003-08-09,D,S,RANDOS AVENTURE POURPRE,O,000000,000000,Chez M. SANTOR Calabre,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S4724,4724,,241S,2003-07-28,2003-08-30,D,S,ASSOCIATION DE CHASSE COMMUNALE DE PONCHAPT,O,000000,000000,Mairie de Ponchapt,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S479,479,,241S,1941-12-15,0001-01-01,D,S,UNION SPORTIVE FOUGUEYROLLAISE,O,000000,000000,Mairie,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S4801,4801,,241S,2004-03-25,2004-04-10,D,S,RESEAU DES SERVICES DACTION ET DE GESTION EN ECONOMIE SOCIALE DEPARTEMENTAUX,O,000000,000000,Chez M. TRIGODET Alain St Avit du Tizac,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S4936,4936,,241S,2005-04-27,2005-06-02,D,S,FAUGUEROLLAS 1306 2006,O,000000,000000,Mairie,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
241S4943,4943,,241S,2005-05-10,2005-06-02,D,S,LE BATELEUR,O,000000,000000,1 rue Canet,,,33220,PORT STE FOY ET PONCHAPT,PF,,,A,,2001-09-14 00:00:00
241S5036,5036,,241S,2005-12-12,0001-01-01,D,S,ASSOCIATION POUR LORGANISATION DE LA FELIBREE 2006 EN PAYS FOYEN ET MONTRAVEL,O,000000,000000,MAIRIE,,,33220,PORT STE FOY ET PONCHAPT,PM,,,A,,2001-09-14 00:00:00
241S681,681,,241S,1949-07-21,0001-01-01,D,S,AMICALE LAIQUE LE MEMILLON DE PONCHAPT,O,000000,000000,Ponchapt,,,33220,PORT STE FOY ET PONCHAPT,PL,,,A,,2001-09-14 00:00:00
241S898,898,,241S,1958-04-07,0001-01-01,D,S,AMICALE LAIQUE DE FOUGUEYROLLES,O,000000,000000,Ecole Publique,,,33220,FOUGUEYROLLES,PM,,,A,,2001-09-14 00:00:00
244S0244004356,0244004356,,244S,0001-01-01,1996-09-04,D,S,COMITE REGIONAL DAQUITAINE DE NIHON TAI-JITSU JU-JITSU,INITIATION ET PERFECTIONNEMENT AUX TECHNIQUES DE TAI ET JU-JITSU.,011000,011145,,,,33000,BORDEAUX,PM,,reprise auto => date publication creation au JO a verifier,A,,2006-04-03 16:26:59
763P0763010557,0763010557,,763P,0001-01-01,0001-01-01,D,S,GYMS NEWS FORMS COMPETITIONS,"ADHERER AUX FEDERATIONS POPUR PARTICIPER AUX COMPETITIONS DHALTEROPHILIE, DE POWERLIFTINF, DE CULTURISME, DAEROBIC ET STRETCHING",000000,000000,33 ROUTE DE DARNETAL,,,00000,,PM,,,A,,2006-03-01 10:47:10
763P0763015975,0763015975,,763P,0001-01-01,0001-01-01,D,S,LA MARQUISE DOUDEVILLAISE,"DEVELOPPEMENT DE LA PRATIQUE DES CARTES TAROT, MANILLE, BELOTE ET DIVERS TOURNOIS",000000,000000,CHEZ MONSIEUR ALAIN HANGARD,33 RUE CACHELEUX,,76560,DOUDEVILLE,PM,,,D,,2006-03-01 10:46:52
763P0763016921,0763016921,,763P,1998-12-24,1999-01-16,D,S,COMPLICE,"CREER DES SITES ET APPLICATIONS MULTIMEDIAS, EN PARTICULIER SUR INTERNET  PROMOUVOIR LA REALISATION ET LA PRODUCTION AUDIOVISUELLE, PHOTOGRAPHIQUE, MULTIMEDIA ET PUBLICITAIRE",000000,000000,33 RUE VERDI,CHEZ M. PERRIN,,00000,,PM,,,A,,2006-03-01 10:46:50
172S0172003631,0172003631,,172S,0001-01-01,0001-01-01,D,S,ASSOCIATION BONAVENTURE,"Accueillir des enfants pendant les temps peri scolaires et pour des activitEs educatives. dEvelopper lautonomie de lenfant, organiser des sEances rEcrEatives, sportives ou autres, faire du soutien scolaire",000000,000000,33 allEe de langle,Chaucre,,17190,SAINT-GEORGES-DOLERON,PM,,W172008997,R,,2021-08-04 11:32:50
173P0173003892,0173003892,,173P,1997-02-24,1997-03-19,D,S,ASSOCIATION IMAGINE OCEANS,O,000000,000000,5 allee vignolles,,,33000,BORDEAUX,PM,,,A,,2005-03-29 13:51:42
173P0173004017,0173004017,,173P,0001-01-01,0001-01-01,D,S,ASSOCIATION EUROSCOPE VOIR LE DOSSIER CAR LE TRANSFERT NA JAMAIS ETE ENREGISTRE A BORDEAUX,O,000000,000000,Association euroscope,24 alle de cazaux,,33470,GUJAN-MESTRAS,PM,,,A,,2005-03-29 13:51:42
174S0174004059,0174004059,,174S,2000-07-12,2000-08-05,D,S,ASFODELEC REGION 5 GRAND SUD-OUEST,"Promouvoir les metiers de lelectricite et de lelectronique - mettre a la disposition des entreprises de ces secteurs dactivites, ses services dinformation et de documentation, analyser les besoins de ces entreprises",000000,000000,Chez m. yves olivre,"33, rue de la fauvette",,17610,CHANIERS,PM,,,D,,2005-03-30 09:56:48
103P0103001320,0103001320,,103P,0001-01-01,0001-01-01,D,S,ASSOCIATION DE PECHE ET DE PISCICULTURE DE LAMICALE DES CHEMINOTS PECHEURS A  LA LIGNE DE TROYES,"Obtenir laffermage de lots de peche sur le territoire de la region, de concourir a la lutte contre le braconnage, de concourir a la lutte contre le braconnage, de concourir au repeuplement des cours deau",013010,000000,33 rue des fosses patris,,,10000,TROYES,PM,,Reprise  =>  date ag=0000-00-00 derniere date publication enregistree :1945-03-04,A,,2008-10-09 10:41:20
103P0103006413,0103006413,,103P,0001-01-01,1990-04-18,D,S,DECOSTAR,"Promouvoir la tradition du spectacle sous toutes ses formes, notamment perpetuer les methodes traditionnelles par la refection,la creation et la collection de costumes decors et accessoires de theatres et fetes, afin de favoriser lorganisation de",006070,000000,"33, rue roger salengro",,,10000,TROYES,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2008-10-09 10:41:51
103P0103007347,0103007347,,103P,0001-01-01,1994-06-29,D,S,FORUM HORIZON,"Aider a la promotion, par tous moyens, des idees et des propositions de conception liberale et republicaine dans le departement de laube, notamment au travers de lactivite politique de ses parlementaires et de ses elus locaux",001000,000000,33 rue urbain iv,,,10000,TROYES,PM,,Reprise  =>  date ag=0000-00-00 reprise auto => date publication creation au JO a verifier derniere date publication enregistree,A,,2008-10-09 10:41:58
2A1P02A1002838,02A1002838,,2A1P,0001-01-01,1990-04-18,D,S,ASSOCIATION MEDIA VISTA.,"Promotion des manifestations culturelles concernant les arts plas-tiques, la musique, la litterature, le cinema ou le theatre.",000000,000000,33 rue fesch,,,20000,AJACCIO,PM,,Reprise auto =>  date publication creation au JO a verifier,A,,2006-02-01 14:39:00
2A1P02A1003045,02A1003045,,2A1P,0001-01-01,1991-10-09,D,S,ASSOCIATION ACTISPORTS.,"Organiser, diriger des stages, creches, activites socio educativestoutes diffusions dans un but social et daide au mouvement associatif.",000000,000000,33 castelrosso,Le rupione porticcio,,20128,GROSSETO-PRUGNA,PM,,Reprise auto =>  date publication creation au JO a verifier,A,,2006-02-01 14:39:00
2A1P02A1012937,02A1012937,,2A1P,2004-07-01,2004-07-31,D,S,JEUNESSE ATHLETIC DES CANNES,"Pratique de lathletisme. Participer et organiser les competitions. Stages, colonies de vacances, centres aeres dans un but educatif et sportif. Organiser toutes manifestations publiques ou privees permettant le developpement des activites culturelles ou sportives quartier des Cannes Ajaccio.",000000,000000,Chez M. Antoine MOCELLINI,33 rue des Joncs,,00000,,PM,,,A,,2006-02-01 14:39:02
593S0593007178,0593007178,,593S,2003-07-28,2003-08-30,D,S,ASSOCIATION POUR LE RENOUVEAU COMMERCIAL ET ARTISANAL DE FAUMONT A.R.C.A.F,"assurer sur le plan local et par tous les moyens legaux la defense des interets de tous les commercants et artisans, de favoriser le developpement de toutes les branches quelles quelles soient, de participer a lanimation de la commune en organisanttoute manifestation",000000,000000,Mairie de Faumont,338 route Nationale,,59310,FAUMONT,PM,,W593003817,R,,2014-09-29 13:52:57
594S0594002778,0594002778,,594S,0001-01-01,0001-01-01,D,S,CONSEIL DES PARENTS DELMIVES COLLMIGE JEAN DECONINCK,"Regrouper lensemble des parents dElMIves de lEtablissement et formuler en leur nom des voeux concernant les intErEts moraux et matEriels de lEtablissement scolaire, en dEfendre lidEal laique e apporter aux ElMIves les meilleurs chances dins",015000,006000,"Chez m. josE machu,","33 rue boilly,",,59430,SAINT-POL-SUR-MER,PM,,W594006683,R,,2013-08-08 16:39:03
595P0595028854,0595028854,,595P,0001-01-01,1994-04-06,D,S,"BOOSTER PRODUCTIONS TRANSFEREE A FLINES LEZ RACHES, 37 RUE DU 2 SEPTEMBRE, LE 100996, SOUS LE Ndeg 6025",O,006030,000000,33 rue dhaubourdin,,,59800,LILLE,PM,,Reprise auto =>  date publication creation au JO a verifier,A,,2004-10-18 14:36:17
595P0595041674,0595041674,,595P,2004-04-19,2004-05-08,D,S,JOKKO,"Reunir les etudiants volontaires pour participer a une action de rencontre, de solidarite, et daide aux plus demunis sur le continent africain",020000,000000,Chez Monsieur J.B Jouanne,3335 rue des stations,,59800,LILLE,PM,,W595026010,R,,2015-09-03 11:00:14
596S0596008128,0596008128,,596S,0001-01-01,1989-08-09,D,S,ASSOCIATION REGIONALE POUR LE CULTE DES TEMOIS DE JEHOVAH NORD 6,"Favoriser lEtude de la bible et den propager les enseignements par tous moyens lEgaux notamment par des rEunions publiques ou privEes, confErences, articles ou rapports. lassociation apporte son concours A lexercice du culte des tEmoins de jEhova",040810,000000,,"33 bis, rue dorchies",,59230,SAINT-AMAND-LES-EAUX,PM,,reprise auto => date publication creation au JO a verifier,D,,2004-10-20 11:14:09
596S0596010043,0596010043,,596S,0001-01-01,0001-01-01,D,S,ASSOCIATION DES ANCIENS SALARIES DALCATEL TITN ANSWARE NORD,"PrEserver les relations qui unissaient les anciens salariEs dalcatel answare nord par toute activitE sportive ou culturelle et par la mise en oeuvre de toutes actions nEcessaires A leur maintien dans leur mEtier et, dune maniMIre gEnErale, dans .",014030,030005,Chez m. pierre saget,"33, rue du moulin",,59230,SARS-ET-ROSIERES,PM,,,D,,2004-10-20 11:14:14
491P0491005360,0491005360,,491P,0001-01-01,1978-06-23,D,S,AMICALE DES ANCIENS ELEVES OFFICIERS DE CHERCHELL-MEDIOUNA,En faisant connaitre les sacrifices consentis au service de la france,015070,000000,TRANSFERT DE SIEGE,,,33210,LANGON,PM,,Reprise  =>  date ag=0000-00-00 reprise auto => date publication creation au JO a verifier,S,,2008-12-09 10:14:39
491P0491011536,0491011536,,491P,0001-01-01,1997-06-07,D,S,METAL MUTANT,Recuperation de materiaux en metal,020015,000000,TRASNFEREE DANS LA GIRONDE - JANVIER 1998,,,33140,VILLENAVE-DORNON,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,S,,2008-12-09 10:14:51
491P0491011759,0491011759,,491P,0001-01-01,0001-01-01,D,S,"LA, LA, PARTOUT",Arts plastiques-interactions entre differentes disciplines,006000,000000,Chez Francois Brunet,"33, rue Ravenel",,49000,ANGERS,PM,,Reprise  =>  date ag=0000-00-00,D,,2008-12-09 10:14:51
491P0491014038,0491014038,,491P,2003-02-25,0001-01-01,D,S,ASSOCIATION DE YOGA ET KINESIOLOGIE DU LAYON,"DEVELOPPER DES ACTIVITES DENSEIGNEMENT, DE FORMATION ET DE PROMOTION PAR LA PRATIQUE DU YOGA, DE LA KINESIOLOGIE ET AUTRES TECHNIQUES VISANT LE BIEN ETRE GLOBAL, LHARMONIE DE LA PERSONNE.",017000,017085,"33, rue de la Sayette",,,49670,VALANJOU,PM,,Reprise  =>  date ag=0000-00-00,D,,2009-01-22 11:31:40
493S0493003611,0493003611,,493S,0001-01-01,1989-09-27,D,S,AMICALE DE LA SOUS-PREFECTURE DE SAUMUR.,"Developper les relations entre les personnels titulaires, stagiai-res et retraites de la sous-prefecture, favoriser la formation.",023000,000000,Sous-prefecture,"33, rue beaurepaire",,49400,SAUMUR,PM,,W493002804,R,,2016-04-27 14:41:09
441S0441001490,0441001490,,441S,0001-01-01,0001-01-01,D,S,CLUB DES AMIS DE LA PRESSE OCEANE,"Creer des liens entre les differents partenaires du journal quotidien presse ocean dans larrondissement de chateaubriant : redaction, correspondants, diffusion lecteurs",005000,005005,Redaction presse ocean,33 grande rue,,44110,CHATEAUBRIANT,PM,,Reprise  =>  date ag=0000-00-00,A,,2009-01-05 15:48:51
442P0442013015,0442013015,,442P,0001-01-01,1980-02-02,D,S,UNION DES ASSOCIATIONS DE SOUS OFFICIERS DE RESERVE DE LA 33EME  DIVISION MILITAIRE,"Preter son concours a lorganisation du service de defense, resserrer les liens entre les sous officiers de reserve, defendre les interets moraux et materiels, inciter au perfectionnement des connaissances militaires",038100,000000,33eme division militaire territoriale,Quartier richemond 16 rue des rochettes,,44000,NANTES,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2009-01-05 16:10:48
442P0442020051,0442020051,,442P,0001-01-01,1992-11-18,D,S,ASSOCIATION NYAMA PRODUCTION,"Promouvoir,soutenir,favoriser,coordonner toutes initiatives contribuant au developpement de la production cinematographique et videographique",006025,000000,33 rue de crucy,,,44000,NANTES,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2009-01-05 16:11:09
442P0442020817,0442020817,,442P,0001-01-01,1993-11-17,D,S,ASSOCIATION COSMOTERRE,"Faire connaitre les differents aspects du nouvel age a savoir letude et la recherche des vies sur les autres planetes grace a la pratique de plusieurs arts et sciences tels:astronomie,astrolo gie,sophrologie,peinture symbolique.",016000,000000,33 avenue des plantes,Chez mme baouche,,44000,NANTES,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2009-01-05 16:11:11
442P0442025184,0442025184,,442P,1999-02-23,1999-03-20,D,S,PIRATERIE-DEVELOPPEMENT,"Soutien au developpement de pays du tiers monde social,education,sante,culture",020000,000000,33 allee max jacob,,,44800,SAINT-HERBLAIN,PM,,Reprise  =>  date ag=0000-00-00,A,,2009-01-05 16:11:25
442P0442031188,0442031188,,442P,2005-12-05,2005-12-31,D,S,BUREAU DE PROMOTION 108 DE LICAM NANTES BDP 108,"de representer les eleves de la promotion 108 aupres de la direction et des professeurs de lIcam Nantes  de plus, ill est charge de dynamiser la vie extra-scolaire de la promotion  enfin, il devra favoriser les echanges avec les autres promotionsde lIcam",015075,000000,Chez Mme Priou Maxime - Residence de lIcam,"33, avenue du Champ de Manoeuvres - appartement H002",,44470,CARQUEFOU,PM,,Reprise  =>  date ag=0000-00-00,A,,2009-01-05 16:11:44
442P0442032927,0442032927,,442P,2007-09-17,2007-10-20,D,S,LA COUR RENAISSANCE,"Association culturelle visant a promouvoir la culture dans toutes ses declinaisons, dans un espace chronologique inscrit autour de la renaissance du XVe au XVIIe siecle dans toute lEurope Moderne, ainsi que les effets de cette periode sur les suivantes a travers la place de lhomme et son evolution dans la societe, aupres de tous publics et en partenariat",010015,006000,33 avenue de la Liberation,,,44400,REZE,PM,,Reprise  =>  date ag=0000-00-00,A,,2009-01-05 16:11:50
442P0442033067,0442033067,,442P,2007-11-05,1967-11-24,D,S,ASSOCIATION TONGIL-MOO DO DES ARTS MARTIAUX UNIFIE DE FRANCE ATAMUF,"Promouvoir et faire decouvrir a un lare public lart du Tong-Il-Moo Do initiations, educations, competitions, demonstrations",011145,000000,33 avenue de lAngeviniere,,,44800,SAINT-HERBLAIN,PM,,Reprise  =>  date ag=0000-00-00,A,,2009-01-05 16:11:50
443S0443001112,0443001112,,443S,0001-01-01,1947-04-15,D,S,AMICALE DE LA CITE DE SAUTRON -VILLES MARTIN,"organisation des fetes de quartier , amelioration des conditions dhabitations , des usagers de la cite, aide a apporter aux ecolespubliques",014000,030005,330 cite villes martin,,,44310,CHEVROLIERE,PM,,Reprise  =>  date publication creation au JO a verifier date ag=0000-00-00,A,,2009-01-05 15:50:10
